"";"lm1";"l0";"l1";"a";"l_stop"
"171";-5844,81685701922;-5844,81532729399;-5844,81386190251;0,95794424359452;-5844,78048327729
"172";-5844,81532729399;-5844,81386190251;-5844,81245789584;0,958110301072985;-5844,78034515002
"173";-5844,81386190251;-5844,81245789584;-5844,81111246487;0,958279615640037;-5844,7802091284
"174";-5844,81245789584;-5844,81111246487;-5844,80982293344;0,958452315466159;-5844,78007508106
"175";-5844,81111246487;-5844,80982293344;-5844,80858675177;0,958628565579574;-5844,77994285595
"176";-5844,80982293344;-5844,80858675177;-5844,80740149038;0,95880841893165;-5844,77981239162
"177";-5844,80858675177;-5844,80740149038;-5844,80626483409;0,958992084029852;-5844,77968351783
"178";-5844,80740149038;-5844,80626483409;-5844,80517457651;0,95917965038417;-5844,77955615588
"179";-5844,80626483409;-5844,80517457651;-5844,80412861479;0,959371190923054;-5844,77943024044
"180";-5844,80517457651;-5844,80412861479;-5844,80312494451;0,959566940089795;-5844,779305604
"181";-5844,80412861479;-5844,80312494451;-5844,80216165495;0,959766949549068;-5844,77918220205
"182";-5844,80312494451;-5844,80216165495;-5844,8012369246;0,959971313850602;-5844,77905996367
"183";-5844,80216165495;-5844,8012369246;-5844,80034901678;0,960180244465805;-5844,77893875121
"184";-5844,8012369246;-5844,80034901678;-5844,79949627565;0,960393773835774;-5844,77881853488
"185";-5844,80034901678;-5844,79949627565;-5844,79867712223;0,960612054712178;-5844,77869921684
"186";-5844,79949627565;-5844,79867712223;-5844,79789005081;0,960835184076741;-5844,77858073207
"187";-5844,79867712223;-5844,79789005081;-5844,79713362537;0,961063282168133;-5844,7784630039
"188";-5844,79789005081;-5844,79713362537;-5844,79640647628;0,961296439452461;-5844,77834597184
"189";-5844,79713362537;-5844,79640647628;-5844,79570729715;0,961534770955482;-5844,77822956308
"190";-5844,79640647628;-5844,79570729715;-5844,79503484179;0,961778366687972;-5844,77811371721
"191";-5844,79570729715;-5844,79503484179;-5844,79438792138;0,962027286086918;-5844,77799838746
"192";-5844,79503484179;-5844,79438792138;-5844,79376540172;0,962281690321075;-5844,77788347918
"193";-5844,79438792138;-5844,79376540172;-5844,79316620069;0,962541542159496;-5844,77776898676
"194";-5844,79376540172;-5844,79316620069;-5844,79258928572;0,962807023714302;-5844,77765480517
"195";-5844,79316620069;-5844,79258928572;-5844,79203367152;0,963078157732127;-5844,77754089788
"196";-5844,79258928572;-5844,79203367152;-5844,79149841781;0,963354979037665;-5844,77742722038
"197";-5844,79203367152;-5844,79149841781;-5844,79098262724;0,963637549265385;-5844,7773137146
"198";-5844,79149841781;-5844,79098262724;-5844,7904854433;0,96392598594312;-5844,77720029809
"199";-5844,79098262724;-5844,7904854433;-5844,79000604853;0,964220152844755;-5844,77708698556
