"";"lm1";"l0";"l1";"a";"l_stop0";"l_stop"
"230";-5844,78102683549;-5844,78102683549;-5844,78084106982;Inf;NA;-5844,78102683549
"231";-5844,78084106982;-5844,78084106982;-5844,78065970349;Inf;NA;-5844,78084106982
"232";-5844,78065970349;-5844,78065970349;-5844,78048255435;Inf;NA;-5844,78065970349
"233";-5844,78048255435;-5844,78048255435;-5844,7803094482;Inf;NA;-5844,78048255435
"234";-5844,7803094482;-5844,7803094482;-5844,78014021839;Inf;NA;-5844,7803094482
"235";-5844,78014021839;-5844,78014021839;-5844,77997470545;Inf;NA;-5844,78014021839
"236";-5844,77997470545;-5844,77997470545;-5844,77981275686;Inf;NA;-5844,77997470545
"237";-5844,77981275686;-5844,77981275686;-5844,77965422665;Inf;NA;-5844,77981275686
"238";-5844,77965422665;-5844,77965422665;-5844,77949897514;Inf;NA;-5844,77965422665
"239";-5844,77949897514;-5844,77949897514;-5844,77934686869;Inf;NA;-5844,77949897514
"240";-5844,77934686869;-5844,77934686869;-5844,77919777938;Inf;NA;-5844,77934686869
"241";-5844,77919777938;-5844,77919777938;-5844,77905158478;Inf;NA;-5844,77919777938
"242";-5844,77905158478;-5844,77905158478;-5844,77890816771;Inf;NA;-5844,77905158478
"243";-5844,77890816771;-5844,77890816771;-5844,77876741599;Inf;NA;-5844,77890816771
"244";-5844,77876741599;-5844,77876741599;-5844,77862922223;Inf;NA;-5844,77876741599
"245";-5844,77862922223;-5844,77862922223;-5844,77849348364;Inf;NA;-5844,77862922223
"246";-5844,77849348364;-5844,77849348364;-5844,77836010177;Inf;NA;-5844,77849348364
"247";-5844,77836010177;-5844,77836010177;-5844,77822898236;Inf;NA;-5844,77836010177
"248";-5844,77822898236;-5844,77822898236;-5844,77810003517;Inf;NA;-5844,77822898236
"249";-5844,77810003517;-5844,77810003517;-5844,77797317374;Inf;NA;-5844,77810003517
"250";-5844,77797317374;-5844,77797317374;-5844,7778483153;Inf;NA;-5844,77797317374
"251";-5844,7778483153;-5844,7778483153;-5844,77772538052;Inf;NA;-5844,7778483153
"252";-5844,77772538052;-5844,77772538052;-5844,77760429347;Inf;NA;-5844,77772538052
"253";-5844,77760429347;-5844,77760429347;-5844,77748498135;Inf;NA;-5844,77760429347
"254";-5844,77748498135;-5844,77748498135;-5844,77736737447;Inf;NA;-5844,77748498135
"255";-5844,77736737447;-5844,77736737447;-5844,77725140601;Inf;NA;-5844,77736737447
"256";-5844,77725140601;-5844,77725140601;-5844,77713701195;Inf;NA;-5844,77725140601
"257";-5844,77713701195;-5844,77713701195;-5844,77702413095;Inf;NA;-5844,77713701195
"258";-5844,77702413095;-5844,77702413095;-5844,77691270422;Inf;NA;-5844,77702413095
"259";-5844,77691270422;-5844,77691270422;-5844,7768026754;Inf;NA;-5844,77691270422
"260";-5844,7768026754;-5844,7768026754;-5844,77669399048;Inf;NA;-5844,7768026754
"261";-5844,77669399048;-5844,77669399048;-5844,77658659766;Inf;NA;-5844,77669399048
"262";-5844,77658659766;-5844,77658659766;-5844,7764804473;Inf;NA;-5844,77658659766
"263";-5844,7764804473;-5844,7764804473;-5844,7763754918;Inf;NA;-5844,7764804473
"264";-5844,7763754918;-5844,7763754918;-5844,77627168548;Inf;NA;-5844,7763754918
"265";-5844,77627168548;-5844,77627168548;-5844,7761689846;Inf;NA;-5844,77627168548
"266";-5844,7761689846;-5844,7761689846;-5844,77606734713;Inf;NA;-5844,7761689846
"267";-5844,77606734713;-5844,77606734713;-5844,77596673282;Inf;NA;-5844,77606734713
"268";-5844,77596673282;-5844,77596673282;-5844,77586710303;Inf;NA;-5844,77596673282
"269";-5844,77586710303;-5844,77586710303;-5844,77576842068;Inf;NA;-5844,77586710303
"270";-5844,77576842068;-5844,77576842068;-5844,7756706502;Inf;NA;-5844,77576842068
"271";-5844,7756706502;-5844,7756706502;-5844,77557375748;Inf;NA;-5844,7756706502
"272";-5844,77557375748;-5844,77557375748;-5844,77547770975;Inf;NA;-5844,77557375748
"273";-5844,77547770975;-5844,77547770975;-5844,77538247559;Inf;NA;-5844,77547770975
"274";-5844,77538247559;-5844,77538247559;-5844,7752880248;Inf;NA;-5844,77538247559
"275";-5844,7752880248;-5844,7752880248;-5844,77519432844;Inf;NA;-5844,7752880248
"276";-5844,77519432844;-5844,77519432844;-5844,77510135869;Inf;NA;-5844,77519432844
"277";-5844,77510135869;-5844,77510135869;-5844,77500908885;Inf;NA;-5844,77510135869
"278";-5844,77500908885;-5844,77500908885;-5844,77491749327;Inf;NA;-5844,77500908885
"279";-5844,77491749327;-5844,77491749327;-5844,77482654734;Inf;NA;-5844,77491749327
"280";-5844,77482654734;-5844,77482654734;-5844,77473622739;Inf;NA;-5844,77482654734
"281";-5844,77473622739;-5844,77473622739;-5844,77464651071;Inf;NA;-5844,77473622739
"282";-5844,77464651071;-5844,77464651071;-5844,77455737547;Inf;NA;-5844,77464651071
"283";-5844,77455737547;-5844,77455737547;-5844,77446880069;Inf;NA;-5844,77455737547
"284";-5844,77446880069;-5844,77446880069;-5844,77438076623;Inf;NA;-5844,77446880069
"285";-5844,77438076623;-5844,77438076623;-5844,77429325271;Inf;NA;-5844,77438076623
"286";-5844,77429325271;-5844,77429325271;-5844,77420624153;Inf;NA;-5844,77429325271
"287";-5844,77420624153;-5844,77420624153;-5844,77411971478;Inf;NA;-5844,77420624153
